,first_name,last_name,email,email_verified,signup_date,referral_count,balance
aaron,Aaron,Davis,aaron6348@gmail.com,True,2018-08-31,6,18.14
acook,Anthony,Cook,cook@gmail.com,True,2018-05-12,2,55.45
adam.saunders,Adam,Saunders,adam@gmail.com,False,2018-05-29,3,72.12
adrian,Adrian,Fang,adrian.fang@teamtreehouse.com,True,2018-04-28,3,30.01
adrian.blair,Adrian,Blair,adrian9335@gmail.com,True,2018-06-16,7,25.85
alan9443,Alan,Pope,pope@hotmail.com,True,2018-04-17,0,56.09
alexander7808,Alexander,Moore,alexander.moore@gmail.com,False,2018-03-27,2,87.71
alvarado,Denise,Alvarado,alvarado@hotmail.com,True,2018-09-07,6,26.72
alvarez,John,Alvarez,john4346@hotmail.com,True,2018-09-18,6,49.62
amanda,Amanda,Lynch,alynch@gmail.com,True,2018-09-18,2,43.76
amiller,Anne,Miller,miller@hotmail.com,False,2018-06-02,5,86.28
andersen,Mark,Andersen,mark.andersen@yahoo.com,True,2018-08-21,3,75.69
andrade,Melissa,Andrade,mandrade@yahoo.com,True,2018-01-06,3,83.22
andrew.alvarez,Andrew,Alvarez,aalvarez@hotmail.com,False,2018-08-01,0,81.66
andrew.wells,Andrew,Wells,andrew9976@yahoo.com,True,2018-06-13,5,76.07
andrew6216,Andrew,Bryan,andrew@gmail.com,True,2018-04-01,1,71.42
andrew6347,Andrew,Horton,andrew.horton@hotmail.com,True,2018-02-01,2,85.73
angela7209,Angela,Collins,collins5797@yahoo.com,True,2018-05-05,7,29.52
anthony1788,Anthony,Valdez,anthony@gmail.com,True,2018-06-30,5,70.7
anthony3761,Anthony,,anthony9581@gmail.com,True,2018-08-16,6,59.81
anthony576,Anthony,Lane,anthony@yahoo.com,True,2018-03-22,7,42.6
april9082,April,Santana,april.santana@hotmail.com,True,2018-08-14,2,53.87
ariley,Alexis,Riley,ariley@gmail.com,True,2018-05-10,2,89.22
arosario,Amanda,Rosario,amanda@yahoo.com,True,2018-01-29,1,76.19
atapia,Amy,Tapia,amy@hotmail.com,True,2018-02-06,5,67.96
austin,Austin,Ashley,austin5493@gmail.com,True,2018-03-12,7,70.38
austin486,Austin,Ward,ward@hotmail.com,True,2018-01-04,7,0.48
awhitney,Amanda,Whitney,whitney6923@yahoo.com,True,2018-04-06,2,30.85
awilliams,Amanda,Williams,williams4190@yahoo.com,True,2018-09-15,7,24.8
barnes,Mikayla,Barnes,mikayla.barnes@hotmail.com,True,2018-06-15,1,1.71
bernard,Dean,Bernard,dean.bernard@gmail.com,True,2018-02-03,6,45.67
bgreen,Brenda,Green,brenda.green@gmail.com,True,2018-02-17,7,47.89
bishop,Mason,Bishop,bishop@gmail.com,True,2018-02-14,5,4.59
blair4952,Nicole,Blair,nicole.blair@yahoo.com,True,2018-04-22,2,32.62
blankenship,April,Blankenship,blankenship11@gmail.com,True,2018-01-12,3,48.31
bowers9648,John,Bowers,bowers5600@hotmail.com,True,2018-06-19,4,36.92
bowman,Mary,Bowman,mary.bowman@sanchez.net,True,2018-04-13,3,54.21
boyer7005,Sara,Boyer,boyer8636@gmail.com,True,2018-07-31,0,91.41
bpowers,Bryce,Powers,bryce@yahoo.com,True,2018-02-28,2,17.99
bradley,Bradley,,bradley3941@henderson.com,True,2018-06-24,4,22.24
bradley3953,Bradley,Mills,mills6497@hotmail.com,True,2018-05-16,3,43.89
bradley7808,Bradley,,bradley8794@yahoo.com,True,2018-06-15,1,76.49
brandon,Brandon,King,bking@gmail.com,True,2018-02-15,5,56.25
brandon.gilbert,Brandon,Gilbert,brandon.gilbert@hotmail.com,True,2018-04-28,0,10.17
brenda,Brenda,,brenda@hotmail.com,True,2018-07-28,7,6.18
brett643,Brett,Sanchez,sanchez4831@hotmail.com,True,2018-01-03,6,30.8
brian.barnes,Brian,Barnes,brian.barnes@hotmail.com,True,2018-06-15,7,92.28
brian7426,Brian,Santiago,brian843@hotmail.com,True,2018-03-18,1,85.41
brooke2027,Brooke,,brooke6938@gmail.com,False,2018-05-23,0,7.22
brown,Kyle,Brown,brown9052@hotmail.com,True,2018-02-27,2,43.87
brown6798,Julia,Brown,julia.brown@bishop.com,True,2018-09-10,4,16.4
bryant,Darlene,Bryant,dbryant@yahoo.com,True,2018-07-19,0,36.91
bsmith,Benjamin,Smith,benjamin5212@hotmail.com,True,2018-08-05,3,15.77
burton6737,Darrell,Burton,burton@yahoo.com,True,2018-03-09,6,12.29
butler,Amy,Butler,amy4529@hotmail.com,True,2018-05-04,4,83.31
caleb,Caleb,Ellison,ellison@gmail.com,True,2018-04-17,1,36.84
calvin.perez,Calvin,Perez,cperez@gmail.com,True,2018-02-17,0,13.01
campbell1062,Amber,Campbell,amber.campbell@gmail.com,True,2018-01-10,3,35.66
campbell4312,Charlotte,Campbell,campbell@hotmail.com,True,2018-03-02,0,11.83
carl.fox,Carl,Fox,fox@hotmail.com,True,2018-04-29,6,19.13
cassandra,Cassandra,,cassandra9220@gmail.com,True,2018-05-03,5,78.9
chad.chen,Chad,Chen,chad.chen@hotmail.com,True,2018-02-09,7,7.5
charles,Charles,Tran,tran6961@yahoo.com,True,2018-02-20,6,40.79
charles559,Charles,Smith,smith@hotmail.com,True,2018-04-16,6,77.05
chorne,Christopher,Horne,horne@gmail.com,True,2018-03-28,4,28.49
christina.banks,Christina,Banks,cbanks@yahoo.com,True,2018-03-03,2,88.91
christine.brown,Christine,Brown,brown@hotmail.com,True,2018-05-05,4,67.24
christine2983,Christine,,christine3128@gmail.com,False,2018-05-23,5,94.02
christopher,Christopher,,christopher@gmail.com,True,2018-07-24,3,96.96
christopher5982,Christopher,Martin,martin@yahoo.com,False,2018-08-22,3,4.32
christopher6861,Christopher,Mitchell,mitchell@hotmail.com,False,2018-06-20,4,55.46
cjimenez,Charles,Jimenez,charles8775@gmail.com,True,2018-02-17,0,55.84
cjones,Carla,Jones,carla2889@gmail.com,True,2018-06-23,1,33.32
clark8139,Tara,Clark,clark@gmail.com,True,2018-01-26,6,93.23
clayton6074,Robert,Clayton,robert@gmail.com,True,2018-01-12,7,97.05
coleman,Amber,Coleman,amber1175@yahoo.com,True,2018-05-17,5,15.79
collin,Collin,,collin@gmail.com,False,2018-08-18,7,89.95
collins,Tyler,Collins,tyler.collins@hotmail.com,True,2018-08-16,6,94.69
colton,Colton,Burke,colton9297@yahoo.com,True,2018-02-12,6,57.98
conley,Courtney,Conley,conley140@gmail.com,True,2018-06-23,2,26.28
corey,Corey,Fuller,fuller8100@yahoo.com,True,2018-04-19,3,31.56
corey.ingram,Corey,Ingram,corey.ingram@gmail.com,True,2018-09-11,1,69.54
courtney9644,Courtney,Macias,courtney.macias@hotmail.com,True,2018-07-14,6,25.18
cox192,Eric,Cox,eric@hotmail.com,True,2018-06-24,3,0.05
crane203,Valerie,Crane,valerie7051@hotmail.com,True,2018-05-12,3,98.69
cross9059,Emily,Cross,emily8281@gmail.com,True,2018-01-07,7,83.62
cynthia5799,Cynthia,Castillo,ccastillo@moore.org,True,2018-03-09,0,91.83
dale,Dale,Salinas,dale@gmail.com,True,2018-04-01,2,19.61
dana.andrews,Dana,Andrews,dandrews@thomas.org,True,2018-09-16,4,54.68
danderson,David,Anderson,david@hotmail.com,True,2018-07-22,6,49.52
daniel,Daniel,Allen,allen@hotmail.com,False,2018-07-01,2,21.21
daniel.livingston,Daniel,Livingston,livingston794@yahoo.com,True,2018-06-22,5,29.66
daniel.williams,Daniel,Williams,williams6378@yahoo.com,True,2018-03-13,4,93.85
daniel1611,Daniel,Morales,morales8909@gmail.com,False,2018-05-15,7,60.66
danielle,Danielle,Salazar,danielle4662@drake.com,True,2018-03-21,3,45.09
darlene.adams,Darlene,Adams,adams@hotmail.com,True,2018-09-15,2,67.02
david,David,,david300@gmail.com,True,2018-03-28,0,59.74
david.barnett,David,Barnett,barnett462@hotmail.com,True,2018-02-21,2,46.88
david2796,David,Mcclure,david3888@hotmail.com,True,2018-09-16,5,37.6
david5498,David,Garcia,david2998@hotmail.com,True,2018-01-05,4,29.14
davis,Erica,Davis,erica@gmail.com,True,2018-06-08,2,53.52
davis9225,Laura,Davis,laura@hotmail.com,True,2018-03-19,3,51.81
davis9792,David,Davis,davis3883@hotmail.com,True,2018-01-04,4,36.9
dawn,Dawn,,dawn6718@hotmail.com,True,2018-03-02,2,72.63
dawn.juarez,Dawn,Juarez,dawn@hotmail.com,True,2018-04-13,1,16.38
dean,Lynn,Dean,dean@gmail.com,True,2018-05-22,3,17.45
dean2365,Brian,Dean,dean3892@hotmail.com,True,2018-01-08,6,8.5
debbie4918,Debbie,,debbie3109@hotmail.com,True,2018-02-09,7,73.63
debra,Debra,Frazier,frazier@yahoo.com,True,2018-06-01,1,80.71
decker1985,Robert,Decker,robert@yahoo.com,True,2018-04-04,7,92.55
dedwards,Deborah,Edwards,deborah@hotmail.com,False,2018-01-13,0,25.63
denise3770,Denise,Cabrera,cabrera@hotmail.com,False,2018-07-21,1,95.08
